Titile,Review
We Made It!,"8:30 flight out of JFK to Grand Cayman took off on time and landed on time, flight was insignificant other than the fact that this was the first time my husband and I had the row (with the extra leg room) all to ourselves, the row in front, across and diagonally were all"
Lost Reservations and luggage,"made flight and seat reservations 2 months in advance so that myself, wife, and son could sit together on the 5-6 hour flight from Boston to SF. we got the standard pre-check in boarding pass email the day before our flight but it wouldn't allow us to check in - when we called"
great flights,"comfortable seating, always helpful personnel, the airline to take! Spend the money for the extra comfort it is worth it!"
"Potential disaster, crisis averted.","We arrived in Orlando, to find that our flight had been delayed almost 4 hours. Unfortunately, we were due to catch our connecting flight, before we were able to arrive. JetBlue, took care of us. They paid for us to spend the night in Puerto Rico, and bought us dinner, and"
Horrendous airline,"I checked their pet policy as well as called before I booked tickets with this airline, then when I got to the airport to check in, they refused to comply with the policy that I was told. The check in agent told me “I think” your dog is too tall. She refused to even try to work"
Great nonstop to New York's JFK from Fort Myers FL,"I have flown JetBLue twice in the last month and both times were pleasant, on time, and non eventful, which is how I like my flights. Friendly staff, clean bathrooms, and smooth ride makes for a great experience!"
non-stop flight to NYC,"I always fly JetBlue to NYC because it is a non-stop flight and inexpensive. This flight was shorter than scheduled, about 30 minutes both ways. They offered my favorite snack, Terra Chips. The only bad thing was departure time at 2:30 PM which shortens my stay at NYC. Still"
Awesome flight to Ft. Lauderdale for our Anniversary!,We decided to take a long weekend trip to Ft Lauderdale for our anniversary and given the construction at LGA & FLL we were expecting delays but we were perfectly on time and our attendants were very friendly. It was actually one of the best flight experiences we've had in a
55th Anniversary lesson learned,"Lesson learned at age 76. First, my wife and I most of the time fly on JetBlue. Every trip we have taken before now has been great. So we had no reason to expect anything bad otherwise. So, what we have learned when traveling to the Carribean. Be sure you flight is on a JetBlue"
Better than the last one,"again I would not call this business class. On this leg of our flight the aircraft felt cleaner brighter and it was obsessively newer. this made the flight nicer. JetBlue pushes 2 carryon bags 1 up and 1 under, but they do not enforce it. We saw people with 4 items that would"
2 leg flight first uh second good,"I would not call it business class, we paid for the extra leg room. The check in by computer did not work, so we had to check in at the counter, we were in line for about 20 mins or so, the lady was nice and said that we have paid for our bags if they are over weight it is"
Extra space seats are worth the extra $,"Originally we were supposed to fly out of Orlando on a different airline, due to Dorian that flight was cancelled so to keep on schedule we purchased tickets last min on JetBlue. The extra space seat were all they had left but they turned out to be so worth it. The TV kept my"
Avoid if flying out of Newark,"I usually try to stay away from Jet Blue when flying thru Newark, but since I was flying back fom Rome, they had a flight to Florida at 5:20pm ..I came arrived at 230 so it was an easy connection..or so I thought. When I arrived I immediately received a text that it was delayed"
Very helpful,We went on a trip to see the falls . The company we booked with had me down as a 4 month old baby which when meant I didn’t have a seat on the plane booked for me . It was a mistake they made as I had phoned with my details 2 days before . JetBlue was fantastic the staff on
The best flight ever,My wife and I traveled on Jetblue Mint in July. First of all if possible Mint is the absolute best way to fly. We purchase our tickets in November of the previous year. That is usually when the new schedule comes out for the following summer months. We have found the ticket
